dataset,variant,seed,use_compactness,use_density,use_boundary,ari,fitness,diff_pct,n_clusters,runtime_s
flame,1_baseline,100,False,False,False,0.012750430131139363,0.007234455892261357,21.895191588765314,1,2.92171311378479
flame,1_baseline,101,False,False,False,0.012750430131139363,0.007220113299514868,21.895191588765314,2,3.749018669128418
flame,2_compactness_only,100,True,False,False,0.01268080542351723,0.0072185667323410455,-15.164509407215382,3,5.103553295135498
flame,2_compactness_only,101,True,False,False,0.006313704452605951,0.007746489276843107,-15.164509407215382,1,3.959141969680786
flame,3_density_only,100,False,True,False,0.012750430131139363,0.007234455892261356,30.261895307971717,1,6.118345260620117
flame,3_density_only,101,False,True,False,0.012750430131139363,0.007220113299514867,30.261895307971717,2,3.887258768081665
flame,4_boundary_only,100,False,False,True,0.012750430131139363,0.007220113299514866,-6.479568565560742,2,3.895122528076172
flame,4_boundary_only,101,False,False,True,0.012750430131139363,0.007220113299514866,-6.479568565560742,2,3.5382418632507324
flame,5_compactness_density,100,True,True,False,0.012750430131139363,0.007220113299514866,-12.002164484190795,2,3.8654978275299072
flame,5_compactness_density,101,True,True,False,0.012750430131139363,0.007220113299514866,-12.002164484190795,2,4.520361423492432
flame,6_compactness_boundary,100,True,False,True,0.9062603544790894,0.004429999578854123,-26.14766911451208,4,3.395231246948242
flame,6_compactness_boundary,101,True,False,True,0.79729247298523,0.0051093711419255795,-26.14766911451208,4,4.558901786804199
flame,7_density_boundary,100,False,True,True,0.012750430131139363,0.007234455892261357,-2.162664679393818,1,3.176313638687134
flame,7_density_boundary,101,False,True,True,0.012750430131139363,0.007220113299514868,-2.162664679393818,2,13.6226806640625
flame,8_full_cdw,100,True,True,True,0.9063300472740199,0.004464814925819128,-24.519341362105873,3,3.5208160877227783
flame,8_full_cdw,101,True,True,True,0.9550051968003598,0.004449977962723634,-24.519341362105873,3,3.358489990234375
